ssn,fName,lName,empAddress,email,DOB,phoneNumber,storeID,,,,,,,
542698,Matthew,Taylor,"12345 Maple Lane, Chula Vista, CA 90015",Matthew.Taylor@gmail.com,1994-07-24,6921485730,2335,,,,,,,
542699,Anthony,Anderson,"87654 Pine Court, Irvine, CA 90016",Anthony.Anderson@gmail.com,1994-11-06,4753981260,2335,,,,,,,
542700,Patricia,Wilson,"34567 Ash Boulevard, Fremont, CA 90017",Patricia.Wilson@gmail.com,1995-03-12,6709348125,2335,,,,,,,
542701,Jessica,Jackson,"98765 Willow Way, San Bernardino, CA 90018",Jessica.Jackson@gmail.com,1995-06-18,1845096237,2335,,,,,,,
689420,Linda,Moore,"65432 Cherry Lane, Fontana, CA 90019",Linda.Moore@gmail.com,1994-11-06,4967012835,9835,,,,,,,
689421,Barbara,Martin,"21098 Poplar Court, Oxnard, CA 90020",Barbara.Martin@gmail.com,1996-01-28,5807314692,9835,,,,,,,
689422,Thomas,Lee,"76431 Cedar Avenue, Moreno Valley, CA 90021",Thomas.Lee@gmail.com,1996-04-14,9816407325,9835,,,,,,,
689423,Sarah,Perez,"31097 Birch Street, Glendale, CA 90022",Sarah.Perez@gmail.com,1996-07-07,7630192845,9835,,,,,,,
689424,Karen,Thompson,"89654 Elm Drive, Huntington Beach, CA 90023",Karen.Thompson@gmail.com,1996-12-01,2964781053,9835,,,,,,,
689425,Mark,White,"43218 Oak Lane, Santa Clarita, CA 90024",Mark.White@gmail.com,1997-02-16,4058192763,9835,,,,,,,
689426,Emily,Harris,"18976 Maple Avenue, Garden Grove, CA 90025",Emily.Harris@gmail.com,1997-06-08,6871395204,9835,,,,,,,
123824,Jason,Nelson,"54623 Pine Street, Santa Rosa, CA 90026",Jason.Nelson@gmail.com,1997-08-31,1540928673,7623,,,,,,,
123825,Paul,Carter,"45689 Ash Road, Oceanside, CA 90027",Paul.Carter@gmail.com,1996-12-01,3059812476,7623,,,,,,,
123826,Brian,Mitchell,"21987 Willow Lane, Rancho Cucamonga, CA 90028",Brian.Mitchell@gmail.com,1998-03-01,9187025346,7623,,,,,,,
123827,Kevin,Perez,"97856 Cherry Drive, Ontario, CA 90029",Kevin.Perez@gmail.com,1998-05-24,8263107594,7623,,,,,,,
123828,Kimberly,Roberts,"63120 Poplar Avenue, Lancaster, CA 90030",Kimberly.Roberts@gmail.com,1998-08-16,5032179648,7623,,,,,,,
123829,Jacob,Turner,"23578 Cedar Street, Palmdale, CA 90031",Jacob.Turner@gmail.com,1998-12-06,4798653102,7623,,,,,,,
123830,Emma,Phillips,"85634 Birch Avenue, Escondido, CA 90032",Emma.Phillips@gmail.com,1999-01-24,7138059264,7623,,,,,,,
743612,Benjamin,Campbell,"43210 Elm Road, Orange, CA 90033",Benjamin.Campbell@gmail.com,1999-04-11,2506871943,7653,,,,,,,
743613,Nicole,Parker,"10789 Oak Drive, Fullerton, CA 90034",Nicole.Parker@gmail.com,1999-09-12,9718305264,7653,,,,,,,
743614,Justin,Evans,"67342 Maple Lane, Sunnyvale, CA 90035",Justin.Evans@gmail.com,1998-12-06,5403218769,7653,,,,,,,
743615,Melissa,Edwards,"21097 Pine Court, Thousand Oaks, CA 90036",Melissa.Edwards@gmail.com,2000-03-19,8304169752,7653,,,,,,,
743616,Tyler,Collins,"76432 Ash Boulevard, Simi Valley, CA 90037",Tyler.Collins@gmail.com,2000-06-11,3672198450,7653,,,,,,,
743617,Ashley,Stewart,"31098 Willow Way, Vallejo, CA 90038",Ashley.Stewart@gmail.com,2000-09-03,6481250973,7653,,,,,,,
842393,Jonathan,Sanchez,"89645 Cherry Lane, Inglewood, CA 90039",Jonathan.Sanchez@gmail.com,2001-02-05,7530214968,2378,,,,,,,
842394,Joshua,Morris,"43219 Poplar Court, Santa Barbara, CA 90040",Joshua.Morris@gmail.com,2001-02-18,2984056137,2378,,,,,,,
842395,Megan,Rogers,"18975 Cedar Avenue, El Monte, CA 90041",Megan.Rogers@gmail.com,2001-05-13,5619847320,2378,,,,,,,
842396,Laura,Reed,"54621 Birch Street, Downey, CA 90042",Laura.Reed@gmail.com,2001-08-05,8641390527,2378,,,,,,,
842397,Christopher,Cook,"45688 Elm Drive, Costa Mesa, CA 90043",Christopher.Cook@gmail.com,2002-06-02,9461375208,2378,,,,,,,
842398,Amanda,Morgan,"21976 Oak Lane, Fairfield, CA 90044",Amanda.Morgan@gmail.com,2002-02-10,4159302876,2378,,,,,,,
976212,Stephanie,Cooper,"97854 Maple Avenue, Ventura, CA 90045",Stephanie.Cooper@gmail.com,2002-05-26,3089761452,2347,,,,,,,
976213,Heather,Bailey,"63121 Pine Street, Richmond, CA 90046",Heather.Bailey@gmail.com,2002-09-15,8362175940,2347,,,,,,,
976214,Andrew,Flores,"23579 Ash Road, West Cov",Andrew.Flores@gmail.com,1997-05-21,9250831746,2347,,,,,,,
976215,Samantha,Reed,"76543 Main St, Springfield, MA 01102",Samantha.Reed@gmail.com,2003-02-16,1498762053,2347,,,,,,,
976216,Timothy,Gomez,"86432 Maple Ave, Arlington, VA 22207",Timothy.Gomez@gmail.com,2003-05-11,5823104976,2347,,,,,,,
976217,Ryan,Howard,"94321 Oak St, Orlando, FL 32801",Ryan.Howard@gmail.com,2003-08-03,1027546983,2347,,,,,,,
289431,Tyler,Ward,"56432 Pine St, Seattle, WA 98101",Tyler.Ward@gmail.com,2003-11-02,6509318274,9864,,,,,,,
289432,Barbara,Torres,"73254 Elm Ave, Portland, OR 97205",Barbara.Torres@gmail.com,1992-08-07,8401735962,9864,,,,,,,
289433,Amanda,Peterson,"45789 Walnut St, Austin, TX 78701",Amanda.Peterson@gmail.com,1991-09-04,5721390846,9864,,,,,,,
289434,Megan,Gray,"65432 Cedar St, New Orleans, LA 70112",Megan.Gray@gmail.com,1993-04-05,2895064713,9864,,,,,,,
289435,Brian,Ramirez,"87965 Ash St, Nashville, TN 37203",Brian.Ramirez@gmail.com,1993-05-21,7149280563,9864,,,,,,,
289436,John,James,"26784 Birch St, Salt Lake City, UT 84101",John.James@gmail.com,1993-09-12,4961057328,9864,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
